name,agency,vote_1,vote_2,expo_1,expo_2,imp_1,imp_2,neg_1,order_name,order_agency,level_1,level_2,age,height,visual,agency_category,id,thumb_pic_url,agency_member_count,is_ranker_same_agency_1,is_ranker_same_agency_2
황수연,Happyface,30858,158248,26,7,0,1,0,0,0,4,3,24,168.0,0,2,144,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/c15a79df-d6d9-4b87-b4a3-b499474e7e71-4-14-해피페이스-황수연.png,8,0,0
유수아,MJ ,30609,100141,55,11,0,3,0,0,0,5,2,19,161.0,0,2,54,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/a9ba3cde-1bb0-4a3d-9fde-f86aaaff83ef-13.MJ-유수아.png,3,0,0
심채은,스타쉽 ,30347,72460,18,2,6,3,0,0,0,3,1,17,163.0,0,3,64,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/0272dccd-1819-4650-965e-d97748b69cf7-2-4.스타쉽-심채은.png,3,0,1
강시라,청춘뮤직,29703,290109,9,62,4,3,0,1,0,4,4,25,161.0,0,2,201,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/a52e4ebc-6c60-43ed-b162-3f2c9a5c19fe-6-17-청춘뮤직-강시라.png,1,0,0
강시현,Star Empire(스타제국),29124,65368,0,10,0,23,0,1,0,3,1,18,160.0,0,3,93,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/ea3f1e87-ab83-426f-b66c-ae640e679061-3-4-스타제국-강시현.png,3,0,0
황아영,Happyface,28223,89095,3,87,0,0,0,0,0,2,2,21,157.0,0,2,143,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/f73d1386-5096-4979-aa30-94ab0794d85b-4-15-해피페이스-황아영.png,8,0,0
김다정,안녕뮤직,28000,0,7,0,2,0,0,0,0,2,3,21,170.0,0,2,224,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/4a3e376c-9abe-4caf-9006-03e451b4ac90-7-7-안녕뮤직-김다정.png,1,0,0
안유미,블레싱  ,27793,0,12,0,0,0,0,0,0,2,1,19,168.0,0,2,190,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/40ca79d7-640c-4e2b-8e3f-cd0963a7c527-6-8-블레싱-안유미.png,5,0,0
김시현,Happyface,27656,0,0,0,1,0,0,0,0,1,4,17,157.0,0,2,150,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/7a261e4a-bc2f-4e5f-9be4-af71dc3c0ee2-4-8-해피페이스-김시현.png,8,0,0
서혜린,SS,27333,0,0,0,1,2,0,0,0,1,2,21,167.0,1,2,48,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/41375cc6-7fd0-4c7a-a970-fa2d9a565732-7.SS-서혜린.png,3,0,0
